t vw vv vT
8.883298492431640625e+01 1.166647002100944519e-01 9.931713938713073730e-01 1.000000000000000000e+00
3.731654739379882812e+01 3.914125859737396240e-01 9.202152490615844727e-01 9.999999403953552246e-01
3.487065124511718750e+01 4.080399274826049805e-01 9.129641056060791016e-01 1.000000000000000000e+00
3.356120300292968750e+01 4.098911881446838379e-01 9.121344089508056641e-01 9.999999403953552246e-01
3.090681266784667969e+01 4.200092554092407227e-01 9.075198173522949219e-01 1.000000000000000000e+00
2.924326324462890625e+01 4.159770905971527100e-01 9.093750715255737305e-01 9.999999403953552246e-01
2.780277442932128906e+01 4.074537158012390137e-01 9.132258296012878418e-01 9.999999403953552246e-01
2.686813926696777344e+01 4.077788293361663818e-01 9.130807518959045410e-01 1.000000000000000000e+00
2.574909973144531250e+01 4.231567978858947754e-01 9.060564637184143066e-01 1.000000000000000000e+00
2.545107269287109375e+01 4.282455444335937500e-01 9.036623835563659668e-01 9.999999403953552246e-01
2.418397331237792969e+01 4.420173466205596924e-01 8.970065116882324219e-01 1.000000000000000000e+00
2.341880416870117188e+01 4.282648563385009766e-01 9.036532640457153320e-01 1.000000000000000000e+00
2.202022171020507812e+01 4.422566592693328857e-01 8.968885540962219238e-01 1.000000000000000000e+00
2.119684600830078125e+01 4.442470073699951172e-01 8.959043622016906738e-01 1.000000000000000000e+00
2.052484703063964844e+01 4.082150459289550781e-01 9.128857851028442383e-01 9.999999403953552246e-01
1.987712860107421875e+01 4.170146882534027100e-01 9.088997244834899902e-01 9.999999403953552246e-01
1.929536247253417969e+01 4.660872220993041992e-01 8.847388029098510742e-01 1.000000000000000000e+00
1.885974502563476562e+01 4.755111038684844971e-01 8.797097206115722656e-01 1.000000000000000000e+00
1.837523269653320312e+01 4.458756148815155029e-01 8.950949311256408691e-01 1.000000000000000000e+00
1.763355255126953125e+01 4.388990104198455811e-01 8.985364437103271484e-01 1.000000000000000000e+00
1.711394309997558594e+01 4.543444514274597168e-01 8.908261060714721680e-01 1.000000000000000000e+00
1.670688629150390625e+01 4.520091414451599121e-01 8.920133113861083984e-01 1.000000000000000000e+00
1.621352386474609375e+01 4.922654330730438232e-01 8.704451322555541992e-01 1.000000000000000000e+00
1.589015388488769531e+01 4.584172070026397705e-01 8.887371420860290527e-01 1.000000000000000000e+00
1.550084304809570312e+01 4.585219323635101318e-01 8.886830806732177734e-01 1.000000000000000000e+00
1.467488670349121094e+01 4.733136892318725586e-01 8.808939456939697266e-01 1.000000000000000000e+00
1.445652008056640625e+01 4.733449816703796387e-01 8.808771371841430664e-01 1.000000000000000000e+00
1.400482368469238281e+01 4.930391013622283936e-01 8.700071573257446289e-01 1.000000000000000000e+00
1.388405513763427734e+01 4.852899610996246338e-01 8.743532896041870117e-01 1.000000000000000000e+00
1.353614330291748047e+01 5.076479911804199219e-01 8.615645766258239746e-01 1.000000000000000000e+00
1.337852573394775391e+01 5.022398829460144043e-01 8.647283315658569336e-01 1.000000000000000000e+00
1.245188140869140625e+01 5.304146409034729004e-01 8.477383255958557129e-01 1.000000000000000000e+00
1.195904159545898438e+01 5.170673131942749023e-01 8.559447526931762695e-01 1.000000000000000000e+00
1.191680335998535156e+01 5.072714686393737793e-01 8.617863059043884277e-01 1.000000000000000000e+00
1.166562175750732422e+01 5.378473997116088867e-01 8.430421948432922363e-01 9.999999403953552246e-01
1.148108863830566406e+01 5.341240167617797852e-01 8.454061150550842285e-01 9.999999403953552246e-01
1.130438804626464844e+01 5.376296043395996094e-01 8.431810736656188965e-01 9.999999403953552246e-01
1.114569950103759766e+01 5.253097414970397949e-01 8.509110808372497559e-01 1.000000000000000000e+00
1.104236602783203125e+01 5.462406873703002930e-01 8.376282453536987305e-01 9.999999403953552246e-01
1.076238346099853516e+01 5.444544553756713867e-01 8.387903571128845215e-01 9.999999403953552246e-01
1.055765914916992188e+01 5.301626324653625488e-01 8.478959798812866211e-01 1.000000000000000000e+00
1.047173500061035156e+01 5.465326905250549316e-01 8.374378085136413574e-01 1.000000000000000000e+00
1.010218811035156250e+01 5.526110529899597168e-01 8.334392905235290527e-01 1.000000000000000000e+00
1.003190326690673828e+01 5.415228605270385742e-01 8.406860232353210449e-01 1.000000000000000000e+00
9.928325653076171875e+00 5.687885880470275879e-01 8.224837779998779297e-01 1.000000000000000000e+00
9.670519828796386719e+00 5.670253634452819824e-01 8.237003087997436523e-01 9.999999403953552246e-01
9.536849021911621094e+00 5.591463446617126465e-01 8.290689587593078613e-01 1.000000000000000000e+00
9.493555068969726562e+00 5.704101920127868652e-01 8.213599920272827148e-01 1.000000000000000000e+00
9.150558471679687500e+00 5.952649116516113281e-01 8.035295009613037109e-01 1.000000000000000000e+00
