t dd no-dd
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
1.000000000000000000e+00 1.370070934295654297e+01 1.493829250335693359e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
2.000000000000000000e+00 1.060426044464111328e+01 1.397127151489257812e+01
