t vw vv vT
8.822814178466796875e+01 1.171365380287170410e-03 9.999992847442626953e-01 9.999999403953552246e-01
3.437043762207031250e+01 4.204679746180772781e-03 9.999911785125732422e-01 1.000000000000000000e+00
3.185608863830566406e+01 4.435389302670955658e-03 9.999901652336120605e-01 1.000000000000000000e+00
3.066522407531738281e+01 4.402061924338340759e-03 9.999902844429016113e-01 9.999999403953552246e-01
2.808624458312988281e+01 4.558911081403493881e-03 9.999895691871643066e-01 9.999999403953552246e-01
2.661413192749023438e+01 4.535370972007513046e-03 9.999896883964538574e-01 9.999999403953552246e-01
2.539813804626464844e+01 4.445218481123447418e-03 9.999901056289672852e-01 1.000000000000000000e+00
2.457834815979003906e+01 4.366152919828891754e-03 9.999904632568359375e-01 1.000000000000000000e+00
2.338217926025390625e+01 4.568001255393028259e-03 9.999895691871643066e-01 1.000000000000000000e+00
2.303838729858398438e+01 4.664656706154346466e-03 9.999890923500061035e-01 9.999999403953552246e-01
2.162489509582519531e+01 5.023324396461248398e-03 9.999873638153076172e-01 9.999999403953552246e-01
2.117608642578125000e+01 4.737836308777332306e-03 9.999887943267822266e-01 1.000000000000000000e+00
1.977403640747070312e+01 4.872775170952081680e-03 9.999881386756896973e-01 1.000000000000000000e+00
1.901757240295410156e+01 4.885380156338214874e-03 9.999880790710449219e-01 1.000000000000000000e+00
1.874763107299804688e+01 4.445189144462347031e-03 9.999901056289672852e-01 1.000000000000000000e+00
1.806485176086425781e+01 4.612108226865530014e-03 9.999893307685852051e-01 9.999999403953552246e-01
1.706454086303710938e+01 5.272105336189270020e-03 9.999861121177673340e-01 1.000000000000000000e+00
1.667879295349121094e+01 5.104598589241504669e-03 9.999869465827941895e-01 9.999999403953552246e-01
1.638587379455566406e+01 5.208218470215797424e-03 9.999864101409912109e-01 9.999999403953552246e-01
1.584960079193115234e+01 4.873476922512054443e-03 9.999880790710449219e-01 9.999999403953552246e-01
1.526502513885498047e+01 5.040907301008701324e-03 9.999873042106628418e-01 1.000000000000000000e+00
1.493048000335693359e+01 4.974119830876588821e-03 9.999876022338867188e-01 9.999999403953552246e-01
1.411928939819335938e+01 5.179593339562416077e-03 9.999865889549255371e-01 1.000000000000000000e+00
1.411064052581787109e+01 5.618496797978878021e-03 9.999842047691345215e-01 1.000000000000000000e+00
1.376389122009277344e+01 5.206258967518806458e-03 9.999864101409912109e-01 9.999999403953552246e-01
1.297162818908691406e+01 5.277464631944894791e-03 9.999860525131225586e-01 9.999999403953552246e-01
1.272741413116455078e+01 5.368890240788459778e-03 9.999855756759643555e-01 1.000000000000000000e+00
1.217863178253173828e+01 5.597605369985103607e-03 9.999843239784240723e-01 1.000000000000000000e+00
1.213294792175292969e+01 5.654757842421531677e-03 9.999840259552001953e-01 1.000000000000000000e+00
1.167880344390869141e+01 5.787513218820095062e-03 9.999831914901733398e-01 9.999999403953552246e-01
1.158465671539306641e+01 5.768163595348596573e-03 9.999833106994628906e-01 9.999999403953552246e-01
1.062029743194580078e+01 5.939824040979146957e-03 9.999823570251464844e-01 1.000000000000000000e+00
1.038582801818847656e+01 5.735474172979593277e-03 9.999835491180419922e-01 1.000000000000000000e+00
1.015234661102294922e+01 6.130818277597427368e-03 9.999811649322509766e-01 9.999999403953552246e-01
9.872429847717285156e+00 6.235070060938596725e-03 9.999805688858032227e-01 1.000000000000000000e+00
9.744859695434570312e+00 6.143363658338785172e-03 9.999811053276062012e-01 9.999999403953552246e-01
9.568914413452148438e+00 6.180033087730407715e-03 9.999809265136718750e-01 1.000000000000000000e+00
9.489654541015625000e+00 6.213527638465166092e-03 9.999806284904479980e-01 9.999999403953552246e-01
9.218905448913574219e+00 6.469227373600006104e-03 9.999790787696838379e-01 1.000000000000000000e+00
9.040727615356445312e+00 6.546990014612674713e-03 9.999785423278808594e-01 9.999999403953552246e-01
8.935606002807617188e+00 6.306225433945655823e-03 9.999801516532897949e-01 1.000000000000000000e+00
8.821046829223632812e+00 6.366143934428691864e-03 9.999797344207763672e-01 1.000000000000000000e+00
8.429138183593750000e+00 6.637851707637310028e-03 9.999779462814331055e-01 9.999999403953552246e-01
8.390740394592285156e+00 6.568039767444133759e-03 9.999784231185913086e-01 1.000000000000000000e+00
8.185670852661132812e+00 6.785376463085412979e-03 9.999769330024719238e-01 9.999999403953552246e-01
8.016765594482421875e+00 6.681497674435377121e-03 9.999776482582092285e-01 9.999999403953552246e-01
7.878338336944580078e+00 6.929005496203899384e-03 9.999759793281555176e-01 9.999999403953552246e-01
7.746400833129882812e+00 7.110875099897384644e-03 9.999746680259704590e-01 9.999999403953552246e-01
7.378960609436035156e+00 7.210271432995796204e-03 9.999740123748779297e-01 1.000000000000000000e+00
7.322959899902343750e+00 7.092113606631755829e-03 9.999748468399047852e-01 1.000000000000000000e+00
7.285784244537353516e+00 6.871880032122135162e-03 9.999763965606689453e-01 1.000000000000000000e+00
7.209878921508789062e+00 7.324972189962863922e-03 9.999731779098510742e-01 1.000000000000000000e+00
7.129593372344970703e+00 7.627520244568586349e-03 9.999708533287048340e-01 9.999999403953552246e-01
6.964640617370605469e+00 7.280474528670310974e-03 9.999734759330749512e-01 9.999999403953552246e-01
6.946205615997314453e+00 7.224919740110635757e-03 9.999738931655883789e-01 1.000000000000000000e+00
6.795858860015869141e+00 7.413270417600870132e-03 9.999725222587585449e-01 1.000000000000000000e+00
6.711454868316650391e+00 7.679762784391641617e-03 9.999704957008361816e-01 9.999999403953552246e-01
6.504044532775878906e+00 7.997910492122173309e-03 9.999680519104003906e-01 1.000000000000000000e+00
6.338773727416992188e+00 8.139722980558872223e-03 9.999668598175048828e-01 1.000000000000000000e+00
6.165543556213378906e+00 8.170380257070064545e-03 9.999665617942810059e-01 9.999999403953552246e-01
6.056876182556152344e+00 7.797499187290668488e-03 9.999696016311645508e-01 1.000000000000000000e+00
5.997748374938964844e+00 8.339866995811462402e-03 9.999651908874511719e-01 9.999999403953552246e-01
5.847264766693115234e+00 8.277750574052333832e-03 9.999657273292541504e-01 1.000000000000000000e+00
5.786307334899902344e+00 8.328804746270179749e-03 9.999652504920959473e-01 9.999999403953552246e-01
5.696513652801513672e+00 9.017968550324440002e-03 9.999593496322631836e-01 1.000000000000000000e+00
5.618601322174072266e+00 8.425216190516948700e-03 9.999644756317138672e-01 9.999999403953552246e-01
5.592436790466308594e+00 8.763674646615982056e-03 9.999616146087646484e-01 1.000000000000000000e+00
5.436458587646484375e+00 8.549064397811889648e-03 9.999634623527526855e-01 1.000000000000000000e+00
5.285853385925292969e+00 9.168199263513088226e-03 9.999579191207885742e-01 9.999999403953552246e-01
5.227835178375244141e+00 8.984097279608249664e-03 9.999595880508422852e-01 9.999999403953552246e-01
5.103085994720458984e+00 9.437175467610359192e-03 9.999554753303527832e-01 1.000000000000000000e+00
4.987107276916503906e+00 9.544065222144126892e-03 9.999544620513916016e-01 1.000000000000000000e+00
4.972644805908203125e+00 9.379882365465164185e-03 9.999559521675109863e-01 9.999999403953552246e-01
4.879642486572265625e+00 9.997663088142871857e-03 9.999499917030334473e-01 9.999999403953552246e-01
4.790935993194580078e+00 1.010892633348703384e-02 9.999488592147827148e-01 9.999999403953552246e-01
4.719411373138427734e+00 1.011306885629892349e-02 9.999487996101379395e-01 9.999999403953552246e-01
4.656703948974609375e+00 1.016894448548555374e-02 9.999482631683349609e-01 9.999999403953552246e-01
4.525693893432617188e+00 1.032667886465787888e-02 9.999466538429260254e-01 9.999999403953552246e-01
4.451742172241210938e+00 1.062675379216670990e-02 9.999435544013977051e-01 1.000000000000000000e+00
4.298263549804687500e+00 1.046599168330430984e-02 9.999452233314514160e-01 1.000000000000000000e+00
4.258699893951416016e+00 1.151194144040346146e-02 9.999337196350097656e-01 9.999999403953552246e-01
4.188924312591552734e+00 1.102869771420955658e-02 9.999392032623291016e-01 1.000000000000000000e+00
4.130186557769775391e+00 1.162499282509088516e-02 9.999324083328247070e-01 9.999999403953552246e-01
4.035430431365966797e+00 1.118656434118747711e-02 9.999374151229858398e-01 9.999999403953552246e-01
3.870448350906372070e+00 1.152823586016893387e-02 9.999335408210754395e-01 1.000000000000000000e+00
