t dd no-dd
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
1.000000000000000000e+00 1.453596878051757812e+01 1.497592639923095703e+01
