t dd no-dd
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
1.000000000000000000e+00 1.655374336242675781e+01 1.745434761047363281e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
2.000000000000000000e+00 1.517194938659667969e+01 1.744541931152343750e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
3.000000000000000000e+00 1.255701541900634766e+01 1.743511390686035156e+01
